receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,scenario
baseline_ls_lmmse,14.0,1.1072091177000222e-05,0.000274658203125,0.0203827028253726,6548,591396864,27,98304,1024,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,0.0,0.2651236716737138,1.0,0.5025020763278008,39198327,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,1.0,0.2501406703434937,1.0,0.48823353566695,36983102,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,2.0,0.2353785562177076,1.0,0.4746710993349552,34800535,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,3.0,0.222078763001354,1.0,0.4631025582784787,32834171,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,4.0,0.2101542493130298,0.9993896484375,0.4534506774507463,31071141,147849216,24561,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,5.0,0.2006825859665025,0.9954833984375,0.4455530751729384,29670763,147849216,24465,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,6.0,0.1924839696140154,0.9878336588541666,0.4379073241725564,28458604,147849216,24277,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,7.0,0.1854884370844415,0.9772542317708334,0.4301731711020693,27424320,147849216,24017,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,8.0,0.1806814721290101,0.9626057942708334,0.4237452857196331,26713614,147849216,23657,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,9.0,0.1764299514445852,0.9519856770833334,0.4187824465334415,26085030,147849216,23396,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,10.0,0.1725468804650272,0.93896484375,0.4124223785474896,25510921,147849216,23076,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,11.0,0.1699843440495484,0.930419921875,0.4091565913986414,25132052,147849216,22866,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,12.0,0.1662858124320388,0.9225667317708334,0.4008541683433577,24585227,147849216,22673,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,13.0,0.1647607316362097,0.9208170572916666,0.3980869485531002,24359745,147849216,22630,24576,256,True,True,twc_mild_main
baseline_ls_2dlmmse_lmmse,14.0,0.1605874663549112,0.9092610677083334,0.3887682987842709,23742731,147849216,22346,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,0.0,0.1782087772450548,1.0,0.1435157367377542,26348028,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,1.0,0.1548429583826809,1.0,0.116606734402012,22893410,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,2.0,0.128931850406295,1.0,0.0950084865035023,19062473,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,3.0,0.0948767425320672,1.0,0.077749652788043,14027452,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,4.0,0.0388027624035558,0.760986328125,0.0635783282195916,5736958,147849216,18702,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,5.0,0.0070889385034006,0.1873372395833333,0.052235220791772,1048094,147849216,4604,24576,256,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,6.0,0.0010650557275933,0.0297067901234567,0.0430568766630726,199295,187121664,924,31104,324,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,7.0,0.0001892485517136,0.005340576171875,0.0356421978940488,111921,591396864,525,98304,1024,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,8.0,5.1995541187042885e-05,0.001220703125,0.0297886716307402,30750,591396864,120,98304,1024,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,9.0,1.3463040615649934e-05,0.000244140625,0.0251609019233001,7962,591396864,24,98304,1024,True,True,twc_mild_main
baseline_ddcpe_ls_lmmse,10.0,6.20395579236619e-06,0.0001220703125,0.0215279696967627,3669,591396864,12,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,11.0,6.726447572099402e-06,8.138020833333333e-05,0.0187218588143878,3978,591396864,8,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,12.0,2.039239761677194e-06,3.0517578125e-05,0.0164697417530987,1206,591396864,3,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,13.0,6.019646394337323e-07,1.0172526041666666e-05,0.0146886830107177,356,591396864,1,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,14.0,4.7768261415738585e-06,4.069010416666666e-05,0.0133049474870858,2825,591396864,4,98304,1024,True,False,twc_mild_main
upair5g_lmmse,0.0,0.1607068379720052,1.0,0.0319494321884121,23760380,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,1.0,0.1360172921038688,1.0,0.0246866811503423,20110050,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,2.0,0.1051909264097822,1.0,0.0194126404749113,15552396,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,3.0,0.0508121328150972,0.9274495442708334,0.015666353960114,7512534,147849216,22793,24576,256,True,True,twc_mild_main
upair5g_lmmse,4.0,0.008033035494757,0.2118326822916666,0.0128323009048472,1187678,147849216,5206,24576,256,True,True,twc_mild_main
upair5g_lmmse,5.0,0.0008971437494805,0.0257975260416666,0.010752981321275,132642,147849216,634,24576,256,True,True,twc_mild_main
upair5g_lmmse,6.0,9.453207940690395e-05,0.0032150205761316,0.0091636573125458,17689,187121664,100,31104,324,True,True,twc_mild_main
upair5g_lmmse,7.0,1.0799854359728224e-05,0.0004170735677083,0.0078936605955277,6387,591396864,41,98304,1024,True,True,twc_mild_main
upair5g_lmmse,8.0,3.180605299929355e-06,7.120768229166667e-05,0.006907510343808,1881,591396864,7,98304,1024,True,False,twc_mild_main
upair5g_lmmse,9.0,0.0,0.0,0.0061039134220663,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,10.0,0.0,0.0,0.0054516401760338,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,11.0,0.0,0.0,0.0049119724699266,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,12.0,0.0,0.0,0.0044665154796348,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,13.0,0.0,0.0,0.004096179939097,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,14.0,1.0788017976368572e-06,1.0172526041666666e-05,0.0038136971047606,638,591396864,1,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,0.0,0.150032638658023,1.0,0.0,22182208,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,1.0,0.1239735353077557,1.0,0.0,18329390,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,2.0,0.0871380136368122,1.0,0.0,12883287,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,3.0,0.0245146176493759,0.6092936197916666,0.0,3624467,147849216,14974,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,4.0,0.0026368689029774,0.08056640625,0.0,389859,147849216,1980,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,5.0,0.0002211036411583,0.0080973307291666,0.0,32690,147849216,199,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,6.0,1.4765794301615445e-05,0.000610853909465,0.0,2763,187121664,19,31104,324,True,False,twc_mild_main
perfect_csi_lmmse,7.0,1.5725480749251996e-06,7.120768229166667e-05,0.0,930,591396864,7,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,8.0,2.7392772918051864e-07,2.034505208333333e-05,0.0,162,591396864,2,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,10.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,11.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,12.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,13.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,14.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
baseline_ls_lmmse,0.0,0.1811328858368156,1.0,0.1292304268572479,24501176,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,1.0,0.1579419808794361,1.0,0.1035286320548038,21364228,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,2.0,0.1324755276820456,1.0,0.0829742425703443,17919475,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,3.0,0.0993908209394114,1.0,0.0667159709264524,13444229,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,4.0,0.0376870502797208,0.7464192708333334,0.0537902838550508,5097788,135266304,18344,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,5.0,0.005382641341335,0.1318766276041666,0.0435094334097811,728090,135266304,3241,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,6.0,0.0006001919156476,0.0152220630372492,0.0353961832778672,110679,184406016,510,33504,349,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,7.0,5.6911808575770654e-05,0.0016377766927083,0.0288874352645507,30793,541065216,161,98304,1024,True,True,twc_mild_dmrsrich
baseline_ls_lmmse,8.0,6.163767141889232e-06,0.0001627604166666,0.0237087146124395,3335,541065216,16,98304,1024,True,False,twc_mild_dmrsrich
baseline_ls_lmmse,9.0,1.2530836948128633e-06,3.0517578125e-05,0.0196290315307123,678,541065216,3,98304,1024,True,False,twc_mild_dmrsrich
baseline_ls_lmmse,10.0,0.0,0.0,0.0163818103283119,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ls_lmmse,11.0,0.0,0.0,0.0137889400757558,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ls_lmmse,12.0,0.0,0.0,0.0117527303746101,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ls_lmmse,13.0,0.0,0.0,0.0101178125069054,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ls_lmmse,14.0,0.0,0.0,0.008835271276439,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,0.0,0.2647290932115658,1.0,0.4906262907898053,35808926,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,1.0,0.2494686925133993,1.0,0.4777605348499492,33744708,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,2.0,0.235214351683624,1.0,0.4660087287193164,31816576,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,3.0,0.2218384483987971,1.0,0.4550591490697115,30007267,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,4.0,0.2094229542931845,0.9995930989583334,0.4450238969875499,28327869,135266304,24566,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,5.0,0.199264178904452,0.9938557942708334,0.4372688041767105,26953729,135266304,24425,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,6.0,0.190989146860995,0.9837239583333334,0.4308262259000912,25834396,135266304,24176,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,7.0,0.184787676315899,0.9711100260416666,0.4253368653589859,24995546,135266304,23866,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,8.0,0.1793249411176341,0.9542236328125,0.4182374897645786,24256622,135266304,23451,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,9.0,0.1748128343922223,0.9403076171875,0.4106472680578008,23646286,135266304,23109,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,10.0,0.1718824963236964,0.9290771484375,0.4088908800622448,23249910,135266304,22833,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,11.0,0.1682287704112917,0.9156494140625,0.4026799552375451,22755684,135266304,22503,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,12.0,0.1658985965935759,0.9107666015625,0.3985024524154141,22440490,135266304,22383,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,13.0,0.1627838149551273,0.9035237630208334,0.3913516845786944,22019165,135266304,22205,24576,256,True,True,twc_mild_dmrsrich
baseline_ls_2dlmmse_lmmse,14.0,0.1601802840713382,0.8996175130208334,0.3837680375436321,21666995,135266304,22109,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,0.0,0.1812130610148112,1.0,0.1294943587272428,24512021,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,1.0,0.1580301477003467,1.0,0.1037641872826498,21376154,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,2.0,0.1325964816780977,1.0,0.0831709351914469,17935836,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,3.0,0.0995941975320032,1.0,0.0668785885209217,13471739,135266304,24576,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,4.0,0.0379858978034914,0.7505696614583334,0.0539189635019283,5138212,135266304,18446,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,5.0,0.0054442235665727,0.133544921875,0.0436068305571097,736420,135266304,3282,24576,256,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,6.0,0.0006055876181393,0.0154309933142311,0.0354636004541528,111674,184406016,517,33504,349,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,7.0,5.797452704851017e-05,0.0016276041666666,0.0289341294883342,31368,541065216,160,98304,1024,True,True,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,8.0,6.2450882076293e-06,0.0001627604166666,0.0237383444055012,3379,541065216,16,98304,1024,True,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,9.0,1.2845031974851625e-06,3.0517578125e-05,0.0196455207842518,695,541065216,3,98304,1024,True,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,10.0,0.0,0.0,0.0163876632595929,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,11.0,0.0,0.0,0.0137878877494586,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,12.0,0.0,0.0,0.0117461838217423,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,13.0,0.0,0.0,0.0101078962552492,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
baseline_ddcpe_ls_lmmse,14.0,0.0,0.0,0.0088224226747115,0,541065216,0,98304,1024,False,False,twc_mild_dmrsrich
